specific_dialogue_content,interaction_strategy,call_type,is_fraud,fraud_type
"left: 喂
right: 喂，你好
left: 你好，我是招商银行的张经理，我们注意到你最近在我们的平台上有过一些浏览，想了解一下你是否有资金周转的需求？
right: 哦，我最近确实有点资金上的困难，不过我还没有考虑清楚。
left: 明白了，我们这里有一个特别的贷款项目，无需抵押，手续简便，放款速度快。如果你感兴趣的话，可以先来了解一下。
right: 听起来不错，怎么申请呢？
left: 太好了，你可以先下载我们银行的专门APP，注册后填写一些基本信息，我们的客服会在第一时间联系你。
right: 好的，我试试看。
left: 非常感谢你的信任，APP的名称是‘招行金融助手’，下载后有任何问题都可以联系我。祝你生活愉快，再见。
right: 好的，谢谢，再见。",Factual Authenticity / Truthfulness,咨询客服,TRUE,银行诈骗
"left: 喂，你好，我是小李，这边是深圳银行的客服，你最近在我们银行申请的贷款审核已经通过了，需要了解一下吗？
right: 真的吗？太好了，我最近确实需要资金周转。
left: 是的，我们这边可以提供十万到五十万的贷款，利息非常优惠，只需要你提供一些基本资料，就可以快速放款。
right: 那需要我做什么呢？
left: 你只需要点击我发给你的链接，填写一些基本信息，我们就会有专人帮你办理。
right: 好的，我这就去点击链接。
left: 好的，你点击链接后，我们会尽快处理你的申请，如果有任何问题，可以随时联系我。
right: 谢谢你，我这就去操作。
left: 不客气，祝你一切顺利。还有，你可以添加我的微信，方便后期联系。
right: 好的，我加你微信。",Clarity,咨询客服,TRUE,客服诈骗
"left: 喂，你好，我是小张，这边是省城银行的客服专员，我们注意到您最近在寻找合适的贷款产品，想了解一下您是否有兴趣了解一下我们银行的低息贷款服务？
right: 你好，我确实有些需要资金周转，你们的贷款有什么条件和要求？
left: 我们这里的贷款条件非常优惠，只需要您提供一些基本的个人信息，比如身份证号、工作证明等，就可以申请了。而且，我们的利率非常低，只有百分之二，比其他银行优惠得多。
right: 听起来不错，那我需要准备哪些材料呢？
left: 您只需要准备好身份证复印件、工作证明以及近三个月的工资单，之后我们会安排专员为您办理。对了，为了方便您申请，您可以点击这个链接，填写相关信息，我们会尽快处理。
right: 好的，我有电脑，可以直接在线操作。这个链接安全吗？
left: 您放心，我们银行的链接是非常安全的，绝对不会泄露您的个人信息。点击之后，按照提示操作即可。如果有任何问题，您可以随时联系我们。
right: 那我就试试看，谢谢你的帮助。
left: 不客气，有任何问题都可以联系我。祝您申请顺利，期待与您的合作。",Factual Authenticity / Truthfulness,咨询客服,TRUE,银行诈骗
"left: 喂，你好，我是小李，这边是深圳工商银行的客服专员，我们这里有一款低息贷款产品，非常适合你这种创业者。你最近有没有资金周转的需求呢？
right: 哦，是这样啊，我最近确实有点资金紧张。
left: 太好了，我们这款贷款产品利息非常低，而且审批快，不需要抵押。你可以先加我的微信，我这边把详细的资料发给你，你看看是否符合你的需求。
right: 加微信可以，但是我现在不方便马上看资料。
left: 没问题，你加了微信之后可以随时找我。另外，我们还有个专门的APP，你可以下载一下，上面有更详细的产品介绍和申请流程。
right: 好的，我加你微信，也下载你们的APP看看。
left: 好的，你加了微信之后我马上把资料发给你。APP下载链接我也发给你，你下载之后有任何问题都可以随时联系我。
right: 好的，谢谢你。
left: 不客气，希望我们的产品能帮到你。有什么问题随时联系我，祝你生意顺利。拜拜。",Factual Authenticity / Truthfulness,咨询客服,TRUE,银行诈骗
"left: 喂，你好，这里是速贷宝客服中心，我是客服经理小张。
right: 你好，有什么事情吗？
left: 我们注意到你最近有资金需求，可以为你提供无抵押、低利率的贷款服务，只需要提供一些基本信息。
right: 哦，真的吗？我最近确实需要点资金周转。
left: 是的，我们的服务非常方便快捷。你只需要下载我们的APP，填写一些资料，就能快速获得贷款。
right: 下载APP吗？这听起来不错。
left: 对，你只要点击这个链接，就能直接下载我们的APP。
right: 好的，我这就去下载。
left: 太好了，下载后如果有任何问题，可以随时联系我。
right: 谢谢你，我会尽快处理的。",Clarity,咨询客服,TRUE,客服诈骗
"left: 喂，你好，我是小李，这边是同城快递客服专员。
right: 你好，有什么事吗？
left: 是这样的，我们发现你最近有一个包裹在运输途中丢失了，为了补偿你的损失，我们需要为你办理退款手续。
right: 真的吗？那怎么办理呢？
left: 我们需要你提供一下你的银行卡号，以便我们直接把退款打到你的账户上。
right: 好的，我的卡号是……
left: 太好了，我们还需要你提供一个验证码，这个验证码是我们系统发送给你的手机上的，用来验证你的身份。
right: 好的，我收到了，验证码是……
left: 非常感谢，我们已经处理好了，退款会在二十四小时内到账，请注意查收。
right: 好的，谢谢。",Personalization,咨询客服,TRUE,客服诈骗
"left: 喂，你好，我是来自幸福金融的客服专员，你最近有考虑过投资理财吗？
right: 投资理财？不太了解，你们有什么好的建议吗？
left: 我们有一款特别适合新手投资者的产品，收益稳定，风险也很低，你有兴趣了解一下吗？
right: 可以啊，具体是怎么操作的？
left: 你只需要下载我们的APP，注册一个账号，然后根据指示操作就可以开始投资了。
right: 下载APP？安全吗？
left: 当然，我们的APP是经过官方认证的，非常安全。而且，现在注册还有新用户大礼包，你不会想错过的。
right: 那我怎么下载呢？
left: 你可以在手机应用商店搜索幸福金融，或者我直接发送一个链接给你，点击链接就可以直接下载了。
right: 好，我试试看。",Clarity,,,
"left: 喂，你好，是李总吗？
right: 是的，你是哪位？
left: 啊，我是小王，从金融公司来的，我们最近推出了一款特别优惠的贷款产品，利息低，门槛也低，非常适合您这样的企业家。
right: 哦，是吗？我最近确实需要资金周转，你能详细说说吗？
left: 当然可以，只要您提供一张营业执照，我们就可以为您提供高达一百万的贷款额度，而且是当天申请，当天放款。
right: 听起来不错，但是怎么申请呢？需要我过去你们公司吗？
left: 不用不用，您只要下载我们公司的APP，然后按照提示操作即可，非常方便。
right: 这样啊，那我需要准备什么资料呢？
left: 您只需要准备好营业执照、身份证和银行流水，其他的交给我们就好。
right: 好的，那我这就去下载APP。
left: 太好了，您有任何问题都可以联系我，祝您操作顺利！",Clarity,咨询客服,TRUE,钓鱼诈骗
"left: 喂，你好，我是工商银行的张经理，最近我们推出了一款新的贷款产品，无抵押，低利率，审批快，不知道你是否有兴趣了解一下？
right: 你好，贷款？我现在手头挺紧的，不过可以了解一下。
left: 太好了，我们这款贷款产品非常适合你，只需要下载我们的APP，填写一些基本信息，就能快速获得审批。
right: 下载APP？这样安全吗？
left: 绝对安全，我们工商银行的APP，有专业的安全团队保障。你下载后，我还可以远程指导你完成申请流程。
right: 那行吧，我试试。
left: 好的，你先下载APP，我等你消息。
right: 好的，我这就去下载。
left: 下载完后，记得告诉我一声，我这边准备好资料，帮你在最短时间内完成审批。
right: 好，谢谢你。",Factual Authenticity / Truthfulness,咨询客服,TRUE,银行诈骗
"left: 喂，你好，是李老板吗？
right: 你好，我是。
left: 哎，李老板，下午好，我这边是丰泽银行的客户经理，我们注意到您在市南区开的明达科技公司，最近发展得不错。
right: 哦，是吗？你们有什么好建议吗？
left: 我们这里有一个特别适合初创企业的低息贷款项目，月息只有两厘，而且审批流程非常快，您有兴趣了解一下吗？
right: 听起来不错，但我最近资金周转还行，不太需要贷款。
left: 我理解您的想法，不过这个贷款项目不仅利息低，还可以提前还款，不会收取任何违约金。您考虑一下，如果需要的话，我可以给您发个链接，您在线上就能完成申请。
right: 好吧，你可以发个链接给我，我看看再说。
left: 好的，我这就给您发过去。请您注意查收，链接有效期只有24小时。还有，为了确保信息的安全，您在填写资料时，请务必使用官方链接。
right: 好的，谢谢你的提醒。",Factual Authenticity / Truthfulness,咨询客服,TRUE,银行诈骗
"left: 喂，你好，我是银行的客服专员小王，你之前在我们这里咨询过贷款的事情，现在有一款适合你的产品，利率非常优惠，你有兴趣了解一下吗？
right: 你好，我最近确实有资金需求，可以给我介绍一下吗？
left: 当然可以，这款贷款产品的利率是行业内最低的，而且下款速度快，手续简单，只需提供身份证和收入证明即可。
right: 听起来不错，需要我下载你们的APP来申请吗？
left: 对的，你可以下载我们的官方APP，注册后填写相关信息，我们会尽快审核。为了方便你操作，我这里有一个快速通道链接，你点击后可以直接跳转到下载页面。
right: 好的，那我怎么获取这个链接呢？
left: 你只需要回复数字一，我就会将链接发到你的手机上。
right: 那我先加你微信吧，这样方便些。
left: 好的，我的微信号是一二三零五六七八九，你可以直接搜索添加。添加后我会将链接发给你，并指导你如何操作。
right: 好的，我马上加你，谢谢你了。",Factual Authenticity / Truthfulness,咨询客服,TRUE,银行诈骗
"left: 喂，你好，这边是速卖通客服，你的运营老师通知你上线回复信息。
right: 干嘛呀？
left: 你的店铺有新的订单需要处理，如果不及时处理可能会影响店铺的评分。
right: 好的，我马上处理。
left: 嗯，好的，另外，我们这里有一个新的推广活动，参与的话可以提升你的店铺流量。
right: 怎么参与？
left: 你只需要下载我们的新APP，注册后按照提示操作，就可以享受优惠了。
right: 下载APP？
left: 是的，下载后你还可以领取新用户专属的优惠券，非常划算。
right: 那行吧，我试试看。
left: 好的，下载链接已经发到你的手机上了，记得尽快完成注册哦。
right: 好的，谢谢。",Clarity,咨询客服,TRUE,客服诈骗
"left: 喂，你好，这边是幸福金融客服中心，我是客服经理小张，我们注意到您最近在寻找贷款信息，想了解一下您是否有资金需求？
right: 嗯，我确实有点需要，可以具体说说吗？
left: 当然可以，我们有一款特别适合您的低息贷款产品，额度最高可达三十万，而且手续非常简便，只需要您提供一些基本信息，我们就可以为您快速办理。
right: 听起来不错，那需要我做什么呢？
left: 您只需要点击链接下载我们的官方APP，然后填写相关信息，我们会安排专人为您服务。
right: 好的，那这链接怎么给我？
left: 您可以通过短信接收链接，或者我直接给您发一个，您看哪种方式方便？
right: 短信吧，我先看看这个APP怎么样。
left: 好的，稍等一下，我这就给您发短信。另外，为了确保您的信息安全，我们需要您提供一个验证码，验证码将通过短信发送，您只需要在APP注册时输入即可。
right: 明白了，谢谢。",Factual Authenticity / Truthfulness,咨询客服,TRUE,客服诈骗
"left: 喂，你好，我是小张，这边是幸福购物平台的客服专员，你之前在我们平台购买的商品有最新优惠活动，想了解一下吗？
right: 你好，你是谁啊，什么优惠活动？
left: 我是小张啊，你之前在我们平台购买了一件衣服，现在我们有返现活动，可以退给你一部分款项，你加我微信，我直接给你发红包。
right: 真的吗？那太好了，我微信多少多少，你加我吧。
left: 好的，我马上加你，你收到好友申请后记得及时通过，我这边加完你微信就给你发返现红包。
right: 好的，我等着。
left: 还有一个事情，我们平台近期推出了一个优质买家的评选活动，如果你参加的话，不仅有机会获得高额奖金，还能享受更多会员特权，你有兴趣吗？
right: 听起来不错，怎么参加呢？
left: 很简单，你只需要点击我发给你的链接，填写一些基本信息，然后完成几个小任务就可以了，我微信加你后发给你链接，你按照步骤操作就行了。
right: 好的，谢谢你的介绍，我等你微信加我。",Personalization,日常购物,TRUE,客服诈骗
"left: 喂，你好，这边是中银金融的客服，我是客服经理小王，你最近是不是在我们平台申请了一笔贷款？
right: 哦，是吗？我最近确实申请了一笔贷款，但是还没收到回复。
left: 是这样的，你的贷款申请我们已经审核通过了，但是还需要你进行一个身份验证，你方便现在操作吗？
right: 身份验证？怎么操作？
left: 很简单，你只需要点击我发给你的链接，按照提示操作就可以了。
right: 好的，我等下看看。
left: 好的，链接我这就发给你，记得尽快操作，不然贷款额度会被取消的。
right: 行，我这就去操作。
left: 好的，操作过程中如果有任何问题，可以随时联系我。祝你操作顺利。
right: 谢谢，我会注意的。",Factual Authenticity / Truthfulness,咨询客服,TRUE,客服诈骗
"left: 喂，你好，这里是华信投资公司，我是李经理。
right: 你好，李经理。
left: 我们注意到你最近对投资理财非常感兴趣，正好我们公司有一款高收益的投资项目，非常适合你。
right: 真的吗？我最近确实想做一些投资。
left: 是的，这款产品的年化收益率高达百分之十五，而且非常稳定。
right: 听起来不错，但我对这种投资不太了解。
left: 没关系，我们可以提供专业的投资顾问服务，帮助你了解和操作。你可以先试试小额投资，体验一下。
right: 那怎么操作呢？
left: 很简单，你只需要下载我们的华信投资APP，注册一个账号，然后就可以开始投资了。
right: 下载APP？安全吗？
left: 绝对安全，我们的APP已经通过了多项安全认证。你可以在App Store或者应用商店搜索华信投资，下载官方版本。
right: 好的，我试试看。
left: 太好了，有任何问题随时联系我，我的电话是13800138000。祝你投资顺利！",Clarity,咨询客服,TRUE,投资诈骗
"left: 喂，你好，我是中海银行的客户经理，小张。
right: 你好，有什么事情吗？
left: 我们最近推出了一款特别优惠的信用贷款服务，年利率只有百分之二点五，你最近有没有资金需求呢？
right: 哦，暂时没有这个需求。
left: 嗯，了解了。不过如果你有需要的话，可以加我的微信，随时咨询。
right: 好的，可以加一下。
left: 太好了，我的微信号是zhonghai2023，加我时备注一下你的名字，我好通过。
right: 好的，知道了。
left: 另外，如果你有朋友需要贷款服务，也可以推荐给他们，我们这里还有推荐奖励哦。
right: 好的，我会考虑的。谢谢你的信息。",Factual Authenticity / Truthfulness,咨询客服,TRUE,银行诈骗
"left: 喂
right: 喂，你好
left: 你好，这边是速贷金融的客服专员，我们后台看到你之前有申请过小额贷款，但是没有成功，你最近有没有资金需求？
right: 嗯，最近确实有点紧，可以详细说说吗？
left: 当然可以，我们这次推出了一个全新的贷款产品，申请流程非常简单，只需要下载我们的APP，提交一些基本信息，审核通过后，资金就能迅速到账。
right: 听起来不错，那这个APP怎么下载？
left: 非常简单，你直接点击这个链接，就可以直接下载我们的APP了。
right: 好的，我试试看。
left: 太好了，下载后如果有任何问题，都可以随时联系我。对了，为了确保你的信息安全，需要你提供一下手机号，方便我们后续联系。
right: 好的，我的手机号是13800138000。
left: 好的，我已经记录下来了。下载APP后，记得输入邀请码123456，这样可以享受首单免息的优惠。祝你使用愉快，再见。",Clarity,咨询客服,TRUE,客服诈骗
"left: 喂，你好，我是建设银行信贷中心的李经理，我们这里有款特殊的贷款产品，可以无抵押、低利息，你最近有没有资金需求？
right: 你好，我最近确实有点需要，可以告诉我更多细节吗？
left: 当然可以，这款产品非常适合你，年利率只有百分之三，而且审批速度快，你只需要提供一些基本信息，我们就能为你申请。
right: 听起来不错，那我需要做什么？
left: 你需要下载我们银行的官方APP，然后注册一个账号，填写相关信息，我们会尽快审核。
right: 好的，我这就去下载。
left: 太好了，下载后你可以在APP内找到‘快速贷款’的选项，点击进入，按照提示操作即可。如果有任何问题，可以随时联系我。
right: 明白了，谢谢你的帮助。
left: 不客气，如果你有其他需要，也可以添加我的微信，随时咨询。
right: 好的，我会加你微信的。谢谢！",Factual Authenticity / Truthfulness,咨询客服,TRUE,银行诈骗
"left: 喂，你好，这边是深圳银行的贷款服务中心，我是张经理。
right: 你好，有什么事情吗？
left: 是这样的，我们注意到你之前有过贷款的需求，现在我们有一款无抵押、低利率的贷款产品，非常适合你。
right: 这个听起来不错，但是我对这种贷款产品不太了解。
left: 没问题，我可以详细给你介绍一下。首先，你需要下载我们银行的官方APP，我发个链接给你，你点击下载安装。
right: 好的，我可以在APP上直接申请吗？
left: 对的，下载后你只需要填写一些基本信息，然后提交贷款申请，审核通过后，资金会直接打入你的账户。
right: 那需要我提供什么资料呢？
left: 身份证、银行流水、收入证明等，不过你先下载APP，资料不全也可以先提交，后续补充。
right: 好的，那我加你微信吧，方便后续联系。
left: 可以的，我的微信号是sz_bank_loan，加我好友后，我会发你链接和指导你操作。",Factual Authenticity / Truthfulness,咨询客服,TRUE,银行诈骗
"left: 喂，你好，我是李华信贷部的，我们这边有一个特别优惠的贷款产品，利率非常低，想了解一下吗？
right: 贷款啊，我现在手头有点紧，不过还是了解一下吧。
left: 好的，我们这个产品的额度非常灵活，最高可以贷到十万元，而且还款方式也多样，你可以选择分期还款。
right: 听起来不错，那我怎么申请呢？
left: 你只需要下载我们的官方APP，注册后填写一些基本信息，审核通过就可以放款了。
right: 官方APP啊，我怎么知道是不是真的呢？
left: 我们是正规银行推出的，你可以放心，我这就发一个链接给你，你点击下载就可以了，方便快捷。
right: 好吧，我试试看。
left: 太好了，你下载后有任何问题都可以联系我，我的电话是一三八三八三八三八三八。
right: 好的，谢谢。",Clarity,咨询客服,TRUE,银行诈骗
"left: 喂喂，你好啊，我是小刘，我这边是某银行的信贷专员。
right: 你好，有什么事情吗？
left: 是这样的，我们银行最近推出了一个特别好的贷款项目，利息非常低，只需要一厘五，而且还可以分到三年还清。
right: 贷款啊，我现在手头还挺紧的，不过我也在考虑买个车。
left: 那正好，这个贷款项目非常适合你。你可以先下载我们的官方APP，上面有详细的介绍。
right: 下载APP？我不是很懂这些。
left: 没事，你只需要用手机扫描我发给你的二维码，下载安装后，再注册一个账号，就可以看到所有信息了。
right: 哦，这样啊，那我试试看。
left: 太好了，我会把二维码发到你的手机上，安装过程中有任何问题都可以联系我。
right: 好的，谢谢你。",Factual Authenticity / Truthfulness,咨询客服,TRUE,银行诈骗
"left: 喂，你好，请问是江先生吗？
right: 是的，你是谁啊？
left: 我是苏宁易购的客服专员，我们发现您最近购买的空调有一个小问题，需要为您处理一下。
right: 哦，什么问题？
left: 您的空调可能存在一个小故障，为了您的安全，我们需要为您办理退货退款。
right: 好的，那我需要怎么操作？
left: 请您先点击这个链接，填写一下退款信息，我们会尽快处理。
right: 好的，我这就去填。
left: 好的，还有请您提供一下银行卡号，我们会将款项退回到您的账户。
right: 行，我的银行卡号是6222 0800 1234 5678。
left: 好的，我们会尽快处理，您稍后会收到退款。还有其他问题可以随时联系我们。",Personalization,咨询客服,TRUE,客服诈骗
"left: 喂，你好，我是华夏银行的客户经理，我们最近有个特别优惠的贷款活动，不知道你有没有需要呢？
right: 哦，贷款啊，我现在没有什么需求。
left: 没关系，了解一下也好的，万一将来有用呢。我们这个贷款利率很低，而且手续简单，最快当天就能放款。
right: 听起来不错，但是我对这些不怎么了解。
left: 没问题，我这边可以详细介绍。要不你加我微信吧，我发你一些资料，你看完有什么问题我们再详细聊聊。
right: 加微信啊，这样会不会不太安全？
left: 放心吧，我们都是正规渠道，我这有个链接，你点开看看就知道了。
right: 链接？我看看吧。
left: 对，你点开看看，里面都是我们银行的介绍和贷款详情。看完你再联系我，有任何问题我都帮你解答。
right: 好的，我一会儿看看。",Factual Authenticity / Truthfulness,咨询客服,TRUE,钓鱼诈骗
"left: 哎，你好，张总吗？
right: 是，你是哪位？
left: 我是中国农商银行的客户经理小李，我们最近推出了一款特别优惠的贷款产品，想了解一下吗？
right: 我最近正好需要资金周转，你们的贷款产品有什么优势？
left: 我们的贷款产品无需抵押，审核速度快，利率也非常优惠，您可以先下载我们的APP，填写一些基本信息，我们会有专人为您服务。
right: 下载APP？这听起来不靠谱，你们是正规的银行吗？
left: 当然，我们是中国农商银行，正规金融机构。为了方便您操作，我们特意开发了这个APP，您下载后可以立即申请，审批通过后资金立即到账。
right: 那我怎么下载你们的APP？
left: 您可以通过扫描这个二维码下载，或者直接点击我发给您的链接，非常方便。
right: 好的，我试试看。",Factual Authenticity / Truthfulness,咨询客服,TRUE,银行诈骗
"left: 喂喂你好，我是农业银行信贷中心的小王，这边有个低息贷款的机会，不知道你最近是否有资金需求？
right: 哦，你好，我最近倒是没有什么大额的资金需求，不过你可以详细说说看。
left: 好的，我们这次的贷款利率非常优惠，只需要两厘，而且申请流程特别简单，你只需要下载我们银行的官方APP，填写一些基本信息，就可以完成申请了。
right: 下载APP？听起来挺方便的，那我怎么下载呢？
left: 是的，非常简单。你可以直接点击我发给你的链接，就能直接下载了。
right: 好的，我试试看。
left: 太好了，你下载好之后，可以直接在APP里面提交申请，如果有任何问题，可以随时联系我。
right: 那我申请过程中需要准备些什么资料呢？
left: 你只需要准备身份证、银行流水和收入证明，这些资料上传到APP就可以了。
right: 好的，谢谢你的帮助，我会尽快处理的。",Factual Authenticity / Truthfulness,咨询客服,TRUE,银行诈骗
